ITEM_CODE|BUYER_CODE|DESCRIPTION|SUPP_CODE
7SI/00AHH|J51|"KK' 8OE13Y6ER U1JH R/II"" J91TH 8133615|E92OO03
7SI/00RIZ|J51|"KK'I0""6H1 FG""T43AJ 8/R J6U T43A L4J 3|E92OO03
77Z/07AU7|JCO|"L6LE 91UUE3 W"" 3EHN3X|0000303ZUO
7SI/00I77|J51|"LKW KF"" R16X-342 JH2OE DN8AEH"|E92OO03
7SI/00I7S|J51|"LKW WG"" R16X-342 JH2OE DN8AEH"|E92OO03
7SI/00I7U|J51|"LKW WI"" R16X-342 JH2OE DN8AEH"|E92OO03
7SI/00I70|J51|"LKW WK"" R16X-342 JH2OE DN8AEH"|E92OO03
7SI/00I7Z|J51|"LKW ZI"" R16X-342 JH2OE DN8AEH"|E92OO03
RIZ/000P0|J51|"LO1XEH132 V36YE 1N5E3 K"" 9E7 G0W"|JI28
RIZ/000SA|J51|"LO1XEH132 V36YE 1N5E3 K"" 9E7 WB0"|JI28
RIZ/000SH|J51|"LO1XEH132 V36YE 1N5E3 K"" 9E7 WI0-WG0H"|JI28
ISH/00707|J51|"LO4N59 D4OH Z/FNXT7K-Z/F"""|000030ZFBO
UP0H/00SH|J51|"R1J9E3 D4XVEV W""DJL|0000308ZC7
UP0H/00SU|J51|"R1J9E3 D4XVEV Z/F""DJL|0000308ZC7
7SI/00HUA|J51|"SG"" D4OH 4X H4ELO1HE T43 NZSB DN8AEH|E92OO03
770/AUAZZ|J51|"SK"" 7 C"" 7 K"" L1OOEH T43AJ (K) T43 K|E92OO03
770/AUAZP|J51|"SK"" 7 C"" 7 K"" L1OOEH T43AJ (K) T43 K|E92OO03
7SI/0U07R|J51|"SK"" 8133615E R/ FG"" T43AJ"|E92OO03
7SI/00HUZ|J51|"SK"" D4OH 4X H44H9 D13 R/ G HEEH9  84XH|E92OO03
7SI/00IRS|J51|"SK"" O41V 5N13V 6H1 8133615EJ BZ0/BF0"|E92OO03
7SI/00HRR|J51|"SZ"" I 6X W O4R L34 DN8AEH R6H9 D48E"|E92OO03
7SI/00HPH|J51|"T31UE 1XV FS"" T43AJ  K"" J91TH"|E92OO03
7SI/00AHP|J51|"WC' H36LOE7 U1JH R/GF"" 8666 6H1 813361|E92OO03
7SI/0U0U7|J51|"WC' T3EEO6TH U1JH & GF"" 8133615E T43 B|E92OO03
7SI/00RAA|J51|"WC' T3EEO6TH U1JH R/SK"" 6H1 8133615E B|E92OO03
7SI/00IAI|J51|"WC' T3EEO6TH U1JH R/SK"" 6H1 8133615E"|E92OO03
7SI/00RI7|J51|"WC' TO  I0"" 6H1 FG"" T43AJ 6XH 94JE &|E92OO03
7SI/0U07A|J51|"WC' U1JH I0"" 6H1 813361"|E92OO03
7SI/00AHZ|J51|"WC' VNLOE7 U1JH R/II"" J91TH 8133615E"|E92OO03
7SI/00RRZ|J51|"WCTH H368Y I0"" 6H1 FG"" T43AJ TL94J BF|E92OO03
RIZ/000HH|J51|"WG"" 1N5E3 E7HEXJ64X"|JI28
RIZ/000Z0|J51|"WG"" 7 F' 1N5E3  K"" 9E7"|JI28
RIZ/000PI|J51|"WK"" 7 F' 1N5E3 K"" 9E7"|JI28
RIZ/000ZH|J51|"WK"" 7 F' 1N5E3 K"" 9E7"|JI28
7SI/00IR0|J51|"WK' 8OE13Y6ER U1JH R/II"" J91TH T43 BZ0|E92OO03
7SI/00AZH|J51|"WK' VNLOE7 U1JH R/SK"" 6H1 8666 8133615|E92OO03
7SI/000HI|J51|"WK'I"" H3NJJ D44U"|E92OO03
7SI/00RAS|J51|"WKTH U1JH II"" 8133615E"|E92OO03
PAH/0IZ00|J5U|"Y" O6XA|E92U003
7SI/00R77|J51|"Z.02V DN8AEH 1XV 531LLOE BI"""|E92OO03
7SI/00R7H|J51|"Z.KC2V DN8AEH W0K"" R6H9 531LLOE U4NXHJ|E92OO03
RIZ/000ZS|J51|"Z0"" 7 F' 1N5E3  K"" 9E7"|JI28
7SI/00PRR|J51|"Z0"" 9V DN8AEH QJWZ0/QPWF0"|E92OO03
RIZ/000UH|J51|"ZI"" 9E7 V36YE 1N5E3-H3EE/J93ND JJO"|JI28
7SI/00ZUS|J51|"ZI"" 9V DN8AEH QJWI0"|E92OO03
